,2021 Demand,Annual Surplus,Output/Cap,Market Surplus
130,17474,-525,0.6438590116279069,245.0
131,17614,-768,0.6470286509855646,46.0
132,17518,-780,0.6269409660107335,5.0
133,17369,-821,0.6184795070220693,-106.0
134,17312,-893,0.6231572151081459,61.0
135,17618,-895,0.6291493030607846,-105.0
136,18238,-570,0.6513386616967134,-65.0
137,19369,-689,0.6948424068767909,31.0
138,18696,-328,0.6820167585762372,350.0
139,18124,72,0.654108976423026,159.0
140,17644,173,0.6466712522173551,219.0
141,17133,-11,0.6179340754662426,-36.0
142,16169,-91,0.5871683515200176,-80.0
143,15126,-245,0.545746962115797,144.0
144,14453,-106,0.5257982622376373,252.0
145,14068,-58,0.529051878354204,719.0
146,13784,-3,0.5258816837315131,1008.0
147,13702,165,0.5357761822233226,1446.0
148,13767,307,0.5542291710683851,1972.0
149,14320,286,0.5719603849125519,1966.0
150,15305,626,0.586805066854328,1372.0
151,16530,805,0.6192658933041854,1033.0
152,17182,365,0.632637195660624,721.0
153,17541,-178,0.6315547052154195,284.0
154,17457,-302,0.6327657452265603,306.0
155,17386,-517,0.6324902030637691,368.0
156,17161,-653,0.6240717488789238,235.0
157,16891,-558,0.6190943451083006,144.0
158,16651,-212,0.6070020784060776,288.0
159,16822,-107,0.612030451409986,302.0
160,17777,-378,0.6410977432903823,234.0
161,19178,-912,0.6865343727852586,196.0
162,18988,-870,0.6777298138843677,166.0
163,18451,-441,0.6547753204676715,142.0
164,17880,-194,0.6375230267819186,116.0
165,17384,-414,0.6082448950999965,-18.0
166,16353,-329,0.5873897770449494,34.0
167,15377,-461,0.5438070725945774,47.0
168,14853,-631,0.5322809004672235,185.0
169,14612,-735,0.5449159157028312,747.0
170,14434,-752,0.5408974723090031,802.0
171,14454,-721,0.5412687706343853,793.0
172,14575,-661,0.5521452846219201,1022.0
173,14984,-484,0.5623609197838296,937.0
174,16196,-453,0.5817719911082884,292.0
175,17543,-246,0.611862127539104,-253.0
176,18192,-643,0.6420746623178644,-81.0
177,18257,-792,0.651158657947114,64.0
178,17831,-471,0.6303764882548536,-200.0
179,17604,-313,0.6270796650975601,-153.0
180,17388,-254,0.6156235495733514,-145.0
181,16998,37,0.6078607322325915,-63.0
182,16796,366,0.5980576998328057,16.0
183,16996,610,0.6026980136671034,26.0
184,17786,679,0.6351885859584687,200.0
185,19069,528,0.6774807143611963,164.0
186,19084,702,0.6734572020652594,90.0
187,18435,1253,0.6533586818757922,123.0
188,18055,1448,0.6392685957748979,-50.0
189,17447,1151,0.5952797202797203,-422.0
190,16459,1148,0.5653465692614212,-285.0
191,15583,920,0.5363124633076631,-53.0
192,14891,895,0.5314318352193624,-4.0
193,14427,1029,0.5234427445853796,388.0
194,14136,1029,0.5268539484857062,755.0
195,14014,1101,0.5114901766082701,409.0
196,14041,1307,0.5209395159853156,575.0
197,14268,1483,0.5370614425645592,810.0
198,14872,2097,0.5518015609964717,611.0
199,15597,2691,0.5799044427012765,667.0
200,15934,2514,0.5968674182959898,795.0
201,16120,1860,0.5794489627745333,53.0
202,16095,1681,0.5797588099364529,-38.0
203,15932,1686,0.5855888542195776,208.0
204,15879,1759,0.5870082342177493,161.0
205,15655,2203,0.5864719446579554,368.0
206,15557,2339,0.5852424764488106,409.0
207,15869,2420,0.5910526702416807,223.0
208,16778,2109,0.5937680740312319,-352.0
209,18157,1601,0.6376036469363581,-394.0
210,18020,1567,0.6515909903468001,205.0
211,17456,1838,0.6211335661129334,155.0
212,16976,1866,0.6074964639321075,204.0
213,16416,1569,0.5954638737527422,413.0
214,15668,1117,0.5603902301085151,186.0
215,14861,742,0.5398377440039678,377.0
216,14365,506,0.5236367555140455,212.0
217,13974,315,0.5237458918704179,528.0
218,13797,82,0.5251352038038547,671.0
219,13718,-4,0.5210352462884316,636.0
220,13504,285,0.5126763628450183,631.0
221,13682,668,0.5198165738617753,601.0
222,14189,1357,0.5374092583810601,543.0
223,14841,2106,0.5658685907947961,687.0
224,15248,2244,0.5712825007303535,396.0
225,15664,1691,0.5841783504777245,294.0
226,15969,1456,0.5948426573426573,363.0
227,16177,1352,0.583239492898398,-121.0
228,16250,1201,0.5938244020365554,-38.0
229,16167,1319,0.5937217133132988,231.0
230,16115,1281,0.6051200232069041,573.0
231,16501,1019,0.6109489051094891,239.0
232,17363,588,0.6500274273176083,412.0
233,18461,-164,0.693876051577826,427.0
234,18069,-378,0.6706154184698893,216.0
235,17564,-247,0.6595075189345432,461.0
236,16998,-2,0.6462995154787883,476.0
237,16437,6,0.6228374967996781,592.0
238,15754,-131,0.6086344265332592,670.0
239,14941,-520,0.5717011595479231,639.0
240,14344,-679,0.5493312869984652,689.0
241,13915,-764,0.5462166496573845,1071.0
242,13783,-851,0.5297434763379035,590.0
243,13710,-1030,0.5273829201101928,648.0
244,13876,-1234,0.5309474919331182,604.0
245,14337,-1501,0.5401162790697674,527.0
246,15584,-2058,0.5709928099353621,140.0
247,16698,-2527,0.626342627753065,621.0
248,17221,-2451,0.6388306713883067,458.0
249,17418,-1777,0.6393636885952313,387.0
250,17179,-782,0.6284874663645376,572.0
251,17309,-671,0.6260507144858504,566.0
252,17695,-740,0.6368199086821651,576.0
253,17770,-452,0.6387834012290271,733.0
254,17422,-70,0.6186600734864874,594.0
255,17951,-791,0.6363824360653477,513.0
256,18593,-980,0.6517161361825927,224.0
257,19114,-1062,0.6709779505348973,392.0
258,18524,-963,0.6466862933041216,367.0
259,18186,-1147,0.6262003677722536,203.0
260,17538,-767,0.610225268014656,449.0
261,16892,-655,0.6124207333884754,878.0
262,15800,-373,0.5796726067136345,985.0
263,14744,-143,0.563048641949809,1612.0
264,14339,-297,0.5420511560997859,1110.0
265,14076,-405,0.5617785985722911,1742.0
266,13930,-456,0.5530340933457223,1545.0
267,13750,-310,0.5573817555443911,1782.0
268,13817,-430,0.5490562646054288,1455.0
269,14411,-702,0.5411320754716981,646.0
270,15534,-1246,0.5767631880733946,560.0
271,16657,-1709,0.6159122575113429,583.0
272,17379,-1796,0.6517086395091675,891.0
273,17798,-1619,0.6638968786619793,898.0
274,18021,-1262,0.679536261196186,794.0
275,18138,-1168,0.6761590117427371,691.0
276,18172,-1038,0.6628454884309727,678.0
277,18003,-1007,0.6490560721329952,425.0
278,17913,-881,0.6361223189636865,60.0
279,17998,-720,0.6698932646301068,203.0
280,18668,-685,0.6681941858799942,-4.0
281,19426,-414,0.698820238820956,62.0
282,18971,-284,0.6894789867587795,191.0
283,18413,-301,0.6677249440796594,95.0
284,17971,-329,0.6593346265051422,44.0
285,17179,-116,0.6185801422023316,-40.0
286,16181,59,0.5838322279978491,105.0
287,15152,296,0.543335475119583,69.0
288,14414,326,0.5283845907130893,413.0
289,14028,331,0.532931156848829,990.0
290,13767,572,0.5376095985233041,1378.0
291,13609,879,0.5378747748702193,1622.0
292,13736,726,0.5355306711740263,1472.0
293,14254,924,0.5461905095675335,1331.0
294,15198,1356,0.586240410982679,1691.0
295,16449,1519,0.5991664370349958,946.0
296,17141,1280,0.6111737956029678,734.0
297,17408,1072,0.6094346049046322,485.0
298,17506,885,0.6205505457997152,799.0
299,17484,765,0.6061117676852946,466.0
300,17342,790,0.6034805890227577,690.0
301,17175,874,0.5860114055686011,294.0
302,16899,1106,0.5961104182817082,787.0
303,17119,989,0.6022930970338554,689.0
304,17789,853,0.6209921457957907,475.0
305,18678,593,0.6486320947325439,384.0
306,18262,779,0.6414264609887655,408.0
307,17882,889,0.6279973626678697,215.0
308,17282,1067,0.6100340490584393,276.0
309,16514,1117,0.5901211950394588,236.0
310,15533,953,0.5824561403508772,735.0
311,14651,702,0.5632816941444002,1202.0
312,14090,521,0.5412578527564057,1246.0
313,13744,269,0.5523782255466877,1690.0
314,13516,276,0.5505934129360412,1747.0
315,13444,305,0.55589079937475,1848.0
316,13693,375,0.561216646535632,1640.0
317,14147,521,0.555963842140075,983.0
318,15087,833,0.5608088235294117,167.0
319,16363,1094,0.6010687304219643,-53.0
320,17049,702,0.6226164570501236,-168.0
321,17208,472,0.6241803580638031,-264.0
322,17025,997,0.6177720776841333,-166.0
323,17068,1002,0.6145181934540135,-264.0
324,17035,849,0.6206263538568858,-131.0
325,16860,949,0.6127262753702688,-105.0
326,16795,921,0.6123583180987203,-47.0
327,17060,845,0.6060034118543791,-364.0
328,17555,837,0.6346494878940321,-19.0
329,18487,641,0.6675491949910555,171.0
330,18000,766,0.647923997185081,414.0
331,17331,1030,0.6100335373232375,313.0
332,16848,1144,0.5933914955004466,428.0
333,16296,1080,0.5981730437780076,1057.0
334,15203,1198,0.5620727970638743,1490.0
335,14251,847,0.5435007854540593,2010.0
336,13646,673,0.5134748944937361,1806.0
337,13305,809,0.49966904951019325,1793.0
338,13087,865,0.49555797747613856,1918.0
339,13032,710,0.49153714436248686,1895.0
340,13120,780,0.4949647864147963,1920.0
341,13692,877,0.5041832081105023,1675.0
342,14514,1338,0.527173026079577,1637.0
343,15569,1654,0.5547058823529412,1405.0
344,16279,1126,0.5815926892950392,1541.0
345,16597,781,0.5847040813002834,1354.0
346,16671,789,0.6076799580616624,1876.0
347,16863,421,0.616574658688969,1789.0
348,16905,456,0.6208584462721854,1740.0
349,16811,317,0.617709065354884,1648.0
350,16762,395,0.6219663656809103,1767.0
351,16832,596,0.6239873075884418,1653.0
352,17570,363,0.638350251239335,1359.0
353,18502,71,0.6439260123312781,819.0
354,18077,590,0.6316897582178755,525.0
355,17621,694,0.6051271658729355,295.0
356,17182,790,0.5822793464141656,-148.0
357,16441,843,0.5662546609584311,-40.0
358,15644,553,0.5463899667405765,127.0
359,14774,296,0.5423681355220328,722.0
360,14135,123,0.5361014667327996,997.0
361,13667,271,0.5169122807017544,1065.0
362,13336,577,0.5151814019020782,1290.0
363,13289,630,0.525673964175864,1238.0
364,13332,737,0.5434577403427243,1637.0
365,13599,1004,0.53114777931235,1015.0
366,14062,1749,0.5362979716912302,639.0
367,14704,2503,0.5428655099201991,126.0
368,15197,2377,0.5596386853370093,230.0
369,15434,1996,0.5628393397223336,12.0
370,15646,1671,0.5767027835540477,162.0
371,15946,1342,0.589179591245108,313.0
372,15947,1203,0.5788080417829291,233.0
373,15884,1264,0.5734113533378528,187.0
374,15775,1325,0.5713624715261959,278.0
375,16001,1339,0.5837920600780139,13.0
376,16613,1408,0.5791318029035257,-417.0
377,17659,1267,0.6269142351900973,67.0
378,17426,1729,0.5946114420279817,-256.0
379,16792,2190,0.5719217884733712,-61.0
380,16428,2302,0.5704393505253104,295.0
381,15902,2233,0.5586654497515465,625.0
382,15065,2109,0.5316999496559826,777.0
383,14068,2029,0.5165190168520616,1441.0
384,13516,2137,0.5123491673037929,1897.0
385,13198,2244,0.5001664447403462,1827.0
386,13038,2315,0.49949623858140785,1835.0
387,13079,2261,0.4997805759038585,1726.0
388,13074,2523,0.5015488215488215,1822.0
389,13150,3052,0.5020549791133271,1753.0
390,13396,4005,0.5064869925767405,1751.0
391,13875,5016,0.5224360046846244,1738.0
392,14471,4731,0.5297743347928595,1258.0
393,14981,3854,0.525488327775131,461.0
394,15435,3109,0.5524852454542353,760.0
395,15934,2378,0.5599468501924977,501.0
396,16021,2089,0.5625641727702101,416.0
397,16093,1843,0.5685221522255499,422.0
398,16123,1736,0.5826041666666667,656.0
399,16367,1775,0.5687195546276966,-22.0
400,17180,1697,0.5842131021464029,-468.0
401,18286,1642,0.6351503627015987,-249.0
402,17889,1850,0.6234164931719538,-222.0
403,17379,2238,0.5943540092917686,-620.0
404,16708,2569,0.5813837906918954,-331.0
405,16309,2199,0.5761020139949561,-90.0
406,15383,2263,0.5303481528752748,-424.0
407,14675,1552,0.5175224123879381,-70.0
408,14077,1389,0.5189868870127538,369.0
409,13692,1298,0.4944141978363855,293.0
410,13623,992,0.5079111678728537,694.0
411,13633,910,0.5117552907700516,755.0
412,13736,768,0.5276328749133623,728.0
413,14344,488,0.5491234477720964,691.0
414,15655,-213,0.5706997084548106,5.0
415,16802,-762,0.6151570489408327,41.0
416,17448,-453,0.6311305297651556,-114.0
417,17577,115,0.6353484650080023,-110.0
418,17513,676,0.6411606624055781,142.0
419,17258,1266,0.6184006070899433,-145.0
420,17206,1515,0.6221725170460695,40.0
421,17222,1418,0.621082921009229,477.0
422,17106,1356,0.6022276097115351,34.0
423,17337,1112,0.6124921002738571,108.0
424,17977,821,0.6263000176273577,-212.0
425,18981,436,0.6705446853516658,39.0
426,18678,352,0.6561549487815963,90.0
427,18248,57,0.6343954818017012,-51.0
428,17751,-84,0.6174908901613743,42.0
429,16940,-14,0.5925172413793104,243.0
430,16027,130,0.5610283601353473,56.0
431,15097,183,0.5459478260869565,599.0
432,14436,134,0.5275975134913587,1011.0
433,14129,25,0.5206662343424691,1126.0
434,13921,113,0.5285975982088337,1661.0
435,13843,-30,0.5253614640558121,1745.0
436,13907,-238,0.5222397001238328,1697.0
437,14503,-491,0.5131372483557574,867.0
438,15645,-1188,0.5298524780374606,338.0
439,16645,-1620,0.569389845066235,591.0
440,17252,-1471,0.5814091373233637,399.0
441,17511,-1053,0.5865169279409828,298.0
442,17459,-650,0.5896609556381335,472.0
443,17279,-399,0.588655988398919,582.0
444,17117,-54,0.595476816249716,1235.0
445,16927,76,0.6054191363251482,1663.0
446,17066,-92,0.608203125,1618.0
447,17422,-277,0.5951542424835322,829.0
448,18059,-288,0.6160115209635715,762.0
449,18944,-5,0.6402896642527979,508.0
450,18762,270,0.6339674003253328,335.0
451,18347,395,0.6286535056952934,473.0
452,17776,711,0.6158101176707231,593.0
453,17089,763,0.5794235924932976,201.0
454,16167,639,0.5583007646559048,261.0
455,15281,630,0.5381971889068353,380.0
456,14674,716,0.5350816971028423,914.0
457,14308,903,0.528962791331607,1216.0
458,14078,879,0.5236461235306109,1335.0
459,14009,1011,0.5319206279688711,1780.0
460,14142,1204,0.5373443290708156,1952.0
461,14702,1366,0.5357558429469065,1413.0
462,15789,1456,0.5709677419354838,1203.0
463,17099,1472,0.6030748206354629,553.0
464,17830,1067,0.6291113875069099,379.0
465,18314,484,0.6480742296918768,195.0
466,18066,496,0.6542767891614896,575.0
467,17752,478,0.6264407721149841,292.0
468,17487,389,0.6052104899930987,52.0
469,17454,117,0.6072760874773264,290.0
470,17458,-1,0.6067070044098041,290.0
471,17872,-164,0.6150090477653727,141.0
472,18454,18,0.6416218424457003,393.0
473,19243,279,0.6638118497206517,599.0
474,18975,781,0.6421867821749688,595.0
475,18446,1114,0.6172604244048965,665.0
476,17853,1380,0.594187160651549,751.0
477,17040,1460,0.5826383623957544,1404.0
478,16036,1383,0.5626498422712933,1800.0
479,14950,1502,0.5356848053844688,1923.0
480,14297,1467,0.5151000377500944,2077.0
481,13980,1380,0.5064070351758794,2144.0
482,13842,1298,0.49935742720120363,2089.0
483,13811,1242,0.49507898696088265,1984.0
484,13964,1286,0.5024090694378838,1990.0
485,14436,1308,0.5185641608999273,1975.0
486,15421,1666,0.5445069176827342,1817.0
487,16592,1889,0.5742010936561621,1574.0
488,17142,1651,0.5829336026255996,1330.0
489,17193,1557,0.5889857269167614,1459.0
490,17097,1587,0.5770673728679971,1207.0
491,17109,1326,0.5765584149683435,1195.0
492,17104,1193,0.5746085644218072,1172.0
493,17101,1152,0.5822968621756424,1345.0
494,17092,1063,0.587814979923488,1500.0
495,17227,975,0.5968614718614719,1524.0
496,17689,314,0.5973988531889676,960.0
497,18743,-143,0.6272347266881029,764.0
498,18397,324,0.6224750703144976,1079.0
499,17776,709,0.6067079955491973,1308.0
500,17190,1088,0.5851826130875343,1348.0
501,16415,1539,0.5621029782615635,1194.0
502,15511,1330,0.5590134297520661,1805.0
503,14591,1273,0.5316273260096723,2008.0
504,14296,856,0.5156034067170175,1747.0
505,13953,854,0.5093550374525763,1755.0
506,13730,865,0.5032786350438783,1697.0
507,13748,798,0.5051657269497768,1752.0
508,13842,800,0.5073124653920068,1733.0
509,14385,849,0.5310293208369944,1933.0
510,15311,1241,0.5356657388827756,1240.0
511,16354,1592,0.574341656654869,1334.0
512,17207,884,0.5904050616398148,896.0
513,17464,474,0.5956308948886656,913.0
514,17605,243,0.601044335614439,927.0
515,17712,-163,0.5981966202847783,731.0
516,17604,-455,0.6110498313002855,1231.0
517,17509,-483,0.5905299711160874,687.0
518,17525,-330,0.5927195137721454,809.0
519,17644,-85,0.5973535581733097,865.0
520,18136,100,0.6016471045976266,420.0
521,18861,152,0.6325567775102492,580.0
522,18873,253,0.6428876127973749,719.0
523,18340,592,0.6452035502570989,1360.0
524,17893,756,0.613660096593134,912.0
525,17146,896,0.5969167386537312,820.0
526,16315,610,0.5687024169686492,791.0
527,15446,238,0.5577603341980258,1110.0
528,14813,-6,0.5292825768667643,1093.0
529,14448,-71,0.5314165778251599,1503.0
530,14284,-173,0.5394297542735043,1873.0
531,14221,-142,0.5313219637552982,1699.0
532,14278,201,0.5321837921414406,1555.0
533,14683,235,0.5324025556945337,1066.0
534,15156,946,0.5356417546709992,669.0
535,16055,1403,0.5580950463149416,574.0
536,16615,1114,0.5815331482359315,560.0
537,16804,789,0.6002679307502061,671.0
538,16978,689,0.6168269563412441,852.0
539,16893,683,0.6165529010238908,1172.0
540,16687,627,0.6069581093417182,1265.0
541,16515,756,0.5993583248902398,1232.0
542,16488,829,0.5996173817983056,1064.0
543,16824,629,0.6012806389424401,642.0
544,17690,256,0.6144578313253012,-44.0
545,19005,-468,0.6676659377865557,-74.0
546,19264,-705,0.6801361122926415,-76.0
547,18357,25,0.6466397277754147,-114.0
548,17767,271,0.6214073339940536,-211.0
549,17222,240,0.6121402814112988,93.0
550,16538,-179,0.5904433178729371,-116.0
551,15744,-540,0.5753902662993572,-79.0
552,15173,-755,0.5445241650580909,-222.0
553,14780,-741,0.5267688131718989,-31.0
554,14548,-707,0.5249812774152134,173.0
555,14370,-570,0.5192280352573215,239.0
556,14338,-521,0.5247009696369169,489.0
557,14586,-281,0.5142787320206675,145.0
558,14818,651,0.5205422023476802,82.0
559,15337,1514,0.5524273534017748,537.0
560,15855,1283,0.5603454231433506,367.0
561,16019,1152,0.567396392675203,465.0
562,16272,686,0.5913236549957301,1039.0
563,16657,168,0.594531090376626,802.0
564,16799,-188,0.5996581196581197,741.0
565,16858,-478,0.5984251968503937,470.0
566,16909,-492,0.6063641720683559,584.0
567,17069,-467,0.6049233112903785,403.0
568,17846,-718,0.6223897109666713,156.0
569,18945,-1225,0.6724748351266921,429.0
570,18837,-1069,0.6685672565448667,393.0
571,18057,-418,0.6403067420798778,396.0
572,17321,87,0.630455935501807,821.0
573,16723,153,0.6231057291848948,1081.0
574,15911,-30,0.5937477922995408,898.0
575,15116,-369,0.5558022342037565,656.0
576,14551,-269,0.5370121130551817,611.0
577,14290,-599,0.5390070921985816,910.0
578,14155,-850,0.5480017067273503,1257.0
579,14109,-958,0.5611095162910865,1528.0
580,14359,-987,0.5640281064028106,1374.0
581,14994,-1262,0.5875478037099253,1445.0
582,16018,-1907,0.6020813217465937,818.0
583,17237,-2360,0.6698684258218855,1244.0
584,17821,-2179,0.6880486400920995,1304.0
585,17809,-1572,0.6825311559948432,1250.0
586,17793,-1055,0.65528925030316,580.0
587,17701,-740,0.6804829566369727,785.0
588,17688,-651,0.6783524196527522,675.0
589,17465,-517,0.6798817661186034,936.0
590,17415,-569,0.6743713768784847,849.0
591,17707,-863,0.6865119034395942,835.0
592,18249,-1071,0.7128518518518518,998.0
593,19099,-1470,0.7114044089027282,1006.0
594,19051,-1634,0.7128719869937089,1119.0
595,18505,-1637,0.6892017106200998,834.0
596,17851,-1437,0.6543970861205477,834.0
597,17040,-1217,0.6168089158496156,449.0
598,16404,-1286,0.5797161219369694,464.0
599,15371,-992,0.5389019527655659,442.0
600,14655,-803,0.5272357033768879,880.0
601,14216,-840,0.5142982842058953,981.0
602,14095,-1082,0.5176316935132782,1362.0
603,14080,-1116,0.5379421006886408,2012.0
604,14160,-1247,0.5555041475263558,2649.0
605,14694,-1598,0.5615776499589153,2392.0
606,15611,-2129,0.5734409726761668,1934.0
607,16895,-2847,0.6253789236937318,2291.0
608,17525,-2913,0.6402441024968011,1989.0
609,18058,-2797,0.6543263308586077,1596.0
610,18315,-2651,0.6510840108401084,905.0
611,18547,-2680,0.6474218321448162,337.0
612,18763,-2726,0.6487328767123288,180.0
613,18503,-2496,0.6398097732441933,63.0
614,18538,-2422,0.6563152037835582,335.0
615,18317,-2004,0.6611826086956522,692.0
616,18907,-2036,0.6856784706988405,785.0
617,19639,-1993,0.7171201223114076,999.0
618,19510,-1841,0.7038663715589984,843.0
619,18743,-1483,0.6872039565338535,988.0
620,18028,-1142,0.6653653480739333,1231.0
621,17390,-1087,0.617802493868951,496.0
622,16597,-1021,0.5839108910891089,-84.0
623,15624,-870,0.5466694508248069,84.0
624,15203,-1031,0.5433191608001673,387.0
625,14795,-1034,0.5192327738976337,148.0
626,14503,-849,0.5257316902394623,514.0
627,14466,-875,0.5351745517314264,726.0
628,14617,-866,0.5548864236661384,1139.0
629,15105,-809,0.5659867289260261,1016.0
630,16163,-730,0.5960515261831419,865.0
631,17340,-445,0.6214045896646014,613.0
632,17862,-603,0.6313418353202107,356.0
633,18005,-681,0.6352542135813694,162.0
634,17951,-533,0.6444100471399423,367.0
635,17396,-22,0.6240723154303401,347.0
636,17174,138,0.6186929612923528,520.0
637,16924,341,0.6182331219954017,823.0
638,16911,318,0.6135080504635115,693.0
639,17485,-14,0.6171158557927896,146.0
640,18292,-302,0.6456290277388624,142.0
641,19391,-669,0.684544244377496,150.0
642,19651,-879,0.6912578769627128,204.0
643,19013,-439,0.6656891495601173,55.0
644,18429,-317,0.6221579164944192,-369.0
645,17695,-220,0.6172291602160526,246.0
646,16836,-347,0.5929947097264964,314.0
647,15848,-511,0.5562786213545433,308.0
648,15242,-695,0.5395555555555556,540.0
649,14833,-728,0.5310816762085436,844.0
650,14746,-834,0.5224469160768453,755.0
651,14730,-869,0.527203683166986,958.0
652,14953,-912,0.5348837209302325,986.0
653,15571,-971,0.5596382515491543,1137.0
654,16517,-567,0.5757281553398058,680.0
655,17611,-107,0.6218664349221205,994.0
656,18189,-558,0.6343404862193626,937.0
657,18014,-512,0.6216746192561605,1008.0
658,17798,-275,0.6250737850068866,1263.0
